2011-09;Atlantique;ANGOULEME;PARIS MONTPARNASSE;358;358;0;23;93.6
2011-09;Atlantique;BREST;PARIS MONTPARNASSE;195;195;0;5;97.4
2011-09;Sud-Est;LYON PART DIEU;MONTPELLIER;359;359;0;72;79.9
2011-09;Atlantique;PARIS MONTPARNASSE;BREST;177;177;0;11;93.8
2011-09;Atlantique;PARIS MONTPARNASSE;LAVAL;242;242;0;24;90.1
2011-09;Atlantique;RENNES;LYON PART DIEU;84;84;0;10;88.1
2011-09;Nord;LILLE;LYON PART DIEU;339;339;0;29;91.4
2012-01;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;208;208;0;39;81.3
2012-01;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;492;489;3;33;93.3
2012-01;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;266;264;2;33;87.5
2012-01;Sud-Est;PARIS LYON;AIX EN PROVENCE TGV;406;406;0;40;90.1
2011-12;Atlantique;PARIS MONTPARNASSE;VANNES;191;191;0;13;93.2
2012-01;Atlantique;BREST;PARIS MONTPARNASSE;180;180;0;10;94.4
2012-01;Atlantique;LAVAL;PARIS MONTPARNASSE;244;244;0;23;90.6
2012-01;Nord;LILLE;MARSEILLE ST CHARLES;157;157;0;22;86.0
2012-01;Sud-Est;PARIS LYON;DIJON VILLE;471;471;0;18;96.2
2012-01;Sud-Est;GRENOBLE;PARIS LYON;248;247;1;18;92.7
2011-10;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;207;207;0;28;86.5
2011-10;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;167;167;0;27;83.8
2011-10;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;203;202;1;30;85.1
2011-10;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;173;173;0;18;89.6
2011-09;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;256;256;0;37;85.5
2011-10;Atlantique;PARIS MONTPARNASSE;LAVAL;245;245;0;34;86.1
2011-09;Sud-Est;AVIGNON TGV;PARIS LYON;381;380;1;36;90.5
2011-10;Sud-Est;PARIS LYON;GRENOBLE;135;135;0;10;92.6
2011-10;Nord;DUNKERQUE;PARIS NORD;205;205;0;18;91.2
2011-09;Nord;ARRAS;PARIS NORD;327;327;0;42;87.2
2011-11;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;199;199;0;20;89.9
2011-11;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;174;173;1;19;89.0
2011-10;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;118;118;0;45;61.9
2011-11;Sud-Est;PARIS LYON;AIX EN PROVENCE TGV;421;421;0;33;92.2
2011-10;Atlantique;VANNES;PARIS MONTPARNASSE;173;173;0;17;90.2
2011-11;Atlantique;PARIS MONTPARNASSE;LAVAL;242;236;6;33;86.0
2011-10;Atlantique;TOURS;PARIS MONTPARNASSE;162;162;0;22;86.4
2011-10;Est;STRASBOURG;PARIS EST;518;517;1;37;92.8
2011-11;Nord;DUNKERQUE;PARIS NORD;199;199;0;7;96.5
2011-10;Nord;PARIS NORD;ARRAS;365;365;0;31;91.5
2012-01;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;630;630;0;43;93.2
2012-02;Sud-Est;PARIS LYON;AIX EN PROVENCE TGV;381;381;0;60;84.3
2012-02;Atlantique;ANGOULEME;PARIS MONTPARNASSE;335;335;0;102;69.6
2012-02;Atlantique;PARIS MONTPARNASSE;LAVAL;245;244;1;35;85.7
2012-02;Sud-Est;MONTPELLIER;LYON PART DIEU;343;342;1;84;75.4
2012-02;Sud-Est;PARIS LYON;MULHOUSE VILLE;294;294;0;45;84.7
2012-02;Sud-Est;MONTPELLIER;PARIS LYON;348;348;0;46;86.8
2012-02;Sud-Est;PARIS LYON;GRENOBLE;255;255;0;32;87.5
2012-02;Nord;PARIS NORD;DUNKERQUE;151;150;1;14;90.7
2012-02;Nord;PARIS NORD;DOUAI;199;199;0;30;84.9
2012-03;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;418;418;0;53;87.3
2012-02;Atlantique;PARIS MONTPARNASSE;POITIERS;422;422;0;79;81.3
2012-02;Atlantique;NANTES;PARIS MONTPARNASSE;560;559;1;67;88.0
2012-02;Atlantique;PARIS MONTPARNASSE;ST MALO;53;53;0;2;96.2
2012-02;Atlantique;PARIS MONTPARNASSE;VANNES;170;170;0;24;85.9
2012-02;Sud-Est;PARIS LYON;BELLEGARDE (AIN);271;271;0;64;76.4
2012-02;Sud-Est;PARIS LYON;NICE VILLE;152;151;1;37;75.5
2012-03;Sud-Est;PARIS LYON;DIJON VILLE;465;465;0;23;95.1
2012-02;Sud-Est;NIMES;PARIS LYON;347;347;0;58;83.3
2012-02;Est;PARIS EST;REIMS;236;236;0;19;91.9
2012-01;Sud-Est;LYON PART DIEU;MARSEILLE ST CHARLES;612;612;0;114;81.4
